param,value,seed,utility,cost,budget,deadline,n_calls,budget_violated,deadline_violated
alpha,2.0,23,0.8733334678574403,25.908514445632214,132.63866804268642,19.87020221640269,17,0,0
alpha,2.0,24,0.0,6.135701505271152,134.71282587970614,19.53047005292651,6,0,0
alpha,2.0,25,0.06729054895534514,11.677243540557916,147.27331220801992,19.824426778023703,6,0,0
alpha,2.0,26,0.9448209444989351,52.277917316892086,138.7414083467592,19.88694011197505,17,0,0
alpha,2.0,27,0.9736392381447443,30.802789550624034,139.36642795133363,19.88826517975155,16,0,0
alpha,2.0,28,0.9893522023335157,31.420599663589194,143.08248478588402,19.93451873332824,19,0,0
alpha,2.0,29,0.1993155780212209,10.398772612182174,127.24290083931622,19.351613644091408,6,0,0
alpha,2.0,30,0.9770040729924903,30.003519560621857,161.59313269531236,19.954545733426702,16,0,0
alpha,2.0,31,0.8128465108880216,27.178177219633067,131.07127963248269,18.6441628237358,20,0,0
alpha,2.0,32,0.9973808188709391,39.46853552516831,124.06696104306678,19.016124871303678,23,0,0
alpha,2.0,33,0.9954742044268946,39.817488994783645,141.79058575220682,19.78366007770389,22,0,0
alpha,2.0,34,0.9554084474760723,29.166981610478295,124.31836270498535,18.323865530786236,18,0,0
alpha,2.0,35,0.999382742770643,37.100288994430315,146.97800524716246,19.822929443148766,19,0,0
alpha,2.0,36,0.76954249481499,35.12459888139023,138.53142700739457,19.438940037041892,20,0,0
alpha,2.0,37,0.16307991192782578,12.186509486277794,148.16252377751263,19.91949534824932,6,0,0
alpha,2.0,38,0.9024144267941338,21.271262867361635,139.8601313356529,19.08148511750277,18,0,0
alpha,2.0,39,0.9999626397461149,35.62713419475253,132.0062444516515,19.881814355517356,28,0,0
alpha,3.0,0,0.33916998402565746,11.475273152307556,136.40099508934756,19.56312733300565,6,0,0
alpha,3.0,1,0.9999976359863368,49.204987688626545,142.84038689478163,19.961113335233666,29,0,0
alpha,3.0,2,0.9146426434842854,23.24735853724458,151.748177309219,19.99038818972839,15,0,0
alpha,3.0,3,0.9971560795950778,34.398685332891134,136.28760577766718,19.94367821564678,20,0,0
