profile,K,seed,policy,utility,cost,budget,n_calls,budget_violated,deadline_violated,oracle_utility,regret
toolbench_subset,100,12,bwk_vanilla,0.602670722796055,114.99909338833751,81.79088039418455,17,1,0,0.9839651686821436,0.3812944458860885
toolbench_subset,100,12,cbuc,0.29275470929453384,9.199962972568116,81.79088039418455,6,0,0,0.9839651686821436,0.6912104593876097
toolbench_subset,100,12,cbuc_aggr,0.18296904128225544,7.784873600281729,81.79088039418455,6,0,0,0.9839651686821436,0.8009961273998881
toolbench_subset,100,13,react_capped,0.8601281047986932,74.86585772703424,78.90071282828988,22,0,1,0.9905984631991717,0.1304703584004785
toolbench_subset,100,13,bwk_vanilla,0.8195256237177649,78.79429787988309,78.90071282828988,16,0,0,0.9905984631991717,0.17107283948140672
toolbench_subset,100,13,cbuc,0.22025088872405185,12.300958009407351,78.90071282828988,6,0,0,0.9905984631991717,0.7703475744751198
toolbench_subset,100,13,cbuc_aggr,0.24675897685251735,9.570860265698236,78.90071282828988,6,0,0,0.9905984631991717,0.7438394863466543
toolbench_subset,100,14,react_capped,0.8660807699900632,60.91016924886092,83.68111145390095,20,0,1,0.9776106436950015,0.11152987370493828
toolbench_subset,100,14,bwk_vanilla,0.3091130786758802,110.44533713822662,83.68111145390095,14,1,0,0.9776106436950015,0.6684975650191213
toolbench_subset,100,14,cbuc,0.011009734201216759,10.629249908116929,83.68111145390095,6,0,0,0.9776106436950015,0.9666009094937847
toolbench_subset,100,14,cbuc_aggr,0.17715677497918902,12.778950461334802,83.68111145390095,6,0,0,0.9776106436950015,0.8004538687158125
toolbench_subset,100,15,react_capped,0.1362349329853213,85.96043850666919,83.98684401867438,9,1,0,0.9828615007139615,0.8466265677286402
toolbench_subset,100,15,bwk_vanilla,0.7745208491746368,86.61076590517084,83.98684401867438,17,1,0,0.9828615007139615,0.20834065153932468
toolbench_subset,100,15,cbuc,0.7679956663360099,37.42958131719632,83.98684401867438,19,0,0,0.9828615007139615,0.2148658343779516
toolbench_subset,100,15,cbuc_aggr,0.7410553840718623,39.73643051446679,83.98684401867438,16,0,0,0.9828615007139615,0.24180611664209917
toolbench_subset,100,16,react_capped,0.6996883125588139,65.25935547142417,83.30187574637205,16,0,1,0.9584577252897502,0.25876941273093623
toolbench_subset,100,16,bwk_vanilla,0.6790471834443559,81.51872751271365,83.30187574637205,21,0,0,0.9584577252897502,0.27941054184539427
toolbench_subset,100,16,cbuc,0.10700602304052031,10.481456405913079,83.30187574637205,6,0,0,0.9584577252897502,0.8514517022492298
toolbench_subset,100,16,cbuc_aggr,0.37284502387836627,10.255287455250622,83.30187574637205,6,0,0,0.9584577252897502,0.5856127014113839
toolbench_subset,100,17,react_capped,0.7983377078478996,100.8133836175617,86.27355435216298,15,1,0,0.9706474746563842,0.17230976680848464
toolbench_subset,100,17,bwk_vanilla,0.8153752178905026,91.62116359240912,86.27355435216298,18,1,0,0.9706474746563842,0.15527225676588163
toolbench_subset,100,17,cbuc,0.770678066822015,21.271305349607996,86.27355435216298,18,0,0,0.9706474746563842,0.19996940783436923
toolbench_subset,100,17,cbuc_aggr,0.2809499468351975,8.92687798765676,86.27355435216298,6,0,0,0.9706474746563842,0.6896975278211868
toolbench_subset,100,18,react_capped,0.6036729577309251,99.19913506916419,78.70675024785791,16,1,0,0.9793569336077897,0.37568397587686464
toolbench_subset,100,18,bwk_vanilla,0.6810172171260035,66.10921652400933,78.70675024785791,22,0,1,0.9793569336077897,0.29833971648178625
toolbench_subset,100,18,cbuc,0.11068887373318648,12.748516833317636,78.70675024785791,6,0,0,0.9793569336077897,0.8686680598746033
toolbench_subset,100,18,cbuc_aggr,0.3894529918982115,19.986427216397484,78.70675024785791,6,0,0,0.9793569336077897,0.5899039417095783
toolbench_subset,100,19,react_capped,0.8317971979175992,97.468432743038,79.81755953422092,16,1,0,0.995704361146034,0.1639071632284348
toolbench_subset,100,19,bwk_vanilla,0.6691059976705382,82.59090103765601,79.81755953422092,13,1,0,0.995704361146034,0.32659836347549576
toolbench_subset,100,19,cbuc,0.29189673048246245,5.598777189877188,79.81755953422092,6,0,0,0.995704361146034,0.7038076306635715
toolbench_subset,100,19,cbuc_aggr,0.1639455808792153,7.900506635836911,79.81755953422092,6,0,0,0.995704361146034,0.8317587802668187
toolbench_subset,100,20,react_capped,0.9289925634143242,90.89543177024697,84.41184139261019,19,1,0,0.990162211312389,0.06116964789806478
toolbench_subset,100,20,bwk_vanilla,0.63214572648935,89.74178914111764,84.41184139261019,14,1,0,0.990162211312389,0.35801648482303905
toolbench_subset,100,20,cbuc,0.0,19.403040366168113,84.41184139261019,6,0,0,0.990162211312389,0.990162211312389
