sparsity,seed,policy,utility,cost,budget,budget_violated,oracle_utility,regret
0.1,17,bwk_vanilla,0.5623867046999194,101.60784240497422,132.1583476648317,0,0.8163093962806458,0.25392269158072645
0.1,17,cbuc,0.8508260882694862,47.04810695103981,132.1583476648317,0,0.8163093962806458,-0.03451669198884044
0.1,17,cbuc_aggr,0.9632059094794401,33.38308041850245,132.1583476648317,0,0.8163093962806458,-0.14689651319879427
0.1,18,react_capped,0.9310302027831047,122.62815050697226,154.26373701780147,0,0.7750770414146356,-0.15595316136846904
0.1,18,bwk_vanilla,0.8977421706924993,116.06649241710551,154.26373701780147,0,0.7750770414146356,-0.12266512927786366
0.1,18,cbuc,0.10996985698360073,15.28874063255172,154.26373701780147,0,0.7750770414146356,0.6651071844310349
0.1,18,cbuc_aggr,0.17544912587920047,8.106801267293477,154.26373701780147,0,0.7750770414146356,0.5996279155354352
0.1,19,react_capped,0.9319319491661857,135.04273392607186,140.71896406502063,0,0.8720234635338479,-0.05990848563233786
0.1,19,bwk_vanilla,0.7877920309554388,117.98409353786418,140.71896406502063,0,0.8720234635338479,0.08423143257840904
0.1,19,cbuc,0.1506569656873925,9.393315958911973,140.71896406502063,0,0.8720234635338479,0.7213664978464553
0.1,19,cbuc_aggr,0.2031262242913382,9.358146393404711,140.71896406502063,0,0.8720234635338479,0.6688972392425097
0.1,20,react_capped,0.7879011785433393,90.79965427796688,139.73501680917954,0,0.9497757655626173,0.16187458701927804
0.1,20,bwk_vanilla,0.782325189703104,100.62776728610316,139.73501680917954,0,0.9497757655626173,0.16745057585951328
0.1,20,cbuc,0.0,8.244452739211876,139.73501680917954,0,0.9497757655626173,0.9497757655626173
0.1,20,cbuc_aggr,0.0635454098231596,19.514076886790644,139.73501680917954,0,0.9497757655626173,0.8862303557394577
0.1,21,react_capped,0.8375003816599442,139.66839663071937,137.8252599404087,1,0.8772306653009196,0.03973028364097542
0.1,21,bwk_vanilla,0.7975185312718681,61.69759074885463,137.8252599404087,0,0.8772306653009196,0.07971213402905153
