K,rho,cost_tail,utility_sparsity,seed,policy,utility,cost,latency,n_calls,budget,deadline,budget_violated,deadline_violated,oracle_utility,regret
10,0.2,1.5,0.2,2194615826,react_uncapped,0.9265461955886566,179.5127187413593,29.70552030634054,30,12.153761855868336,19.876984020364276,1,1,0.3195986071244943,-0.6069475884641623
10,0.2,1.5,0.2,2194615826,react_capped,0.31569552801620715,14.621209655326762,2.793408464820496,4,12.153761855868336,19.876984020364276,1,0,0.3195986071244943,0.003903079108287133
10,0.2,1.5,0.2,2194615826,nonadaptive_greedy,0.4712216121981434,7.003318093650301,3.3529306299754236,3,12.153761855868336,19.876984020364276,0,0,0.3195986071244943,-0.15162300507364912
10,0.2,1.5,0.2,2194615826,bwk_vanilla,0.04868942281940003,35.840956170337556,0.8692054051731364,2,12.153761855868336,19.876984020364276,1,0,0.3195986071244943,0.27090918430509425
10,0.2,1.5,0.2,2194615826,cbuc,0.09907398785051491,3.3136989392430607,2.359391194862735,6,12.153761855868336,19.876984020364276,0,0,0.3195986071244943,0.22052461927397937
10,0.2,1.5,0.2,2194615826,cbuc_mod,0.2731692429687731,2.854631044545507,2.6687773911342947,6,12.153761855868336,19.876984020364276,0,0,0.3195986071244943,0.04642936415572119
10,0.2,1.5,0.2,2194615826,cbuc_aggr,0.2233245257070482,6.8606735958703124,3.1426328910014263,6,12.153761855868336,19.876984020364276,0,0,0.3195986071244943,0.09627408141744609
10,0.2,1.5,0.2,2194615826,lagrangian,0.129469540217107,12.960979448192194,1.4067377114154065,3,12.153761855868336,19.876984020364276,1,0,0.3195986071244943,0.1901290669073873
10,0.2,1.5,0.2,2194615826,cvar_bwk,0.3340720638769312,12.406857132909384,2.8330723894225196,5,12.153761855868336,19.876984020364276,1,0,0.3195986071244943,-0.014473456752436942
10,0.2,1.5,0.2,2194615826,precheck_ucb,0.5388147839956626,10.892296071635888,6.927419953657802,14,12.153761855868336,19.876984020364276,0,0,0.3195986071244943,-0.21921617687116834
10,0.2,1.5,0.2,2194615826,cc_knapsack,0.0,0.0,0.0,0,12.153761855868336,19.876984020364276,0,0,0.3195986071244943,0.3195986071244943
10,0.2,1.5,0.2,1814009195,react_uncapped,0.9685487559524806,134.5715698361445,36.532159614081316,30,11.576813576912556,18.691072021616343,1,1,0.5152323408207221,-0.45331641513175847
10,0.2,1.5,0.2,1814009195,react_capped,0.32762982702308086,14.500870995802796,4.395582588917725,3,11.576813576912556,18.691072021616343,1,0,0.5152323408207221,0.18760251379764126
10,0.2,1.5,0.2,1814009195,nonadaptive_greedy,0.5864468323127814,9.64242764326021,3.420983827725104,3,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.07121449149205927
10,0.2,1.5,0.2,1814009195,bwk_vanilla,0.5391666457201872,11.101974664695032,5.578790520059746,5,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.02393430489946513
10,0.2,1.5,0.2,1814009195,cbuc,0.528033489433025,6.159454730707445,3.718252434363614,2,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.01280114861230286
10,0.2,1.5,0.2,1814009195,cbuc_mod,0.9042155954426809,8.177324317851413,11.909904227492447,7,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.3889832546219588
10,0.2,1.5,0.2,1814009195,cbuc_aggr,0.808671736174115,9.212444242767791,7.0921601007577895,6,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.2934393953533929
10,0.2,1.5,0.2,1814009195,lagrangian,0.0,22.213699134040894,3.073153962841265,3,11.576813576912556,18.691072021616343,1,0,0.5152323408207221,0.5152323408207221
10,0.2,1.5,0.2,1814009195,cvar_bwk,0.5411364820970277,10.712184182651232,6.61971670196698,6,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.02590414127630558
10,0.2,1.5,0.2,1814009195,precheck_ucb,0.969573931183613,10.443215118635125,14.425145355656072,9,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,-0.4543415903628909
10,0.2,1.5,0.2,1814009195,cc_knapsack,0.0,0.0,0.0,0,11.576813576912556,18.691072021616343,0,0,0.5152323408207221,0.5152323408207221
10,0.2,1.5,0.2,3481547325,react_uncapped,0.994528779632986,129.63949376663922,27.362764794014215,30,13.800794740695233,18.668310225957512,1,1,0.7298894711458866,-0.2646393084870994
10,0.2,1.5,0.2,3481547325,react_capped,0.7602007859705016,19.52027931330221,5.706765691723556,5,13.800794740695233,18.668310225957512,1,0,0.7298894711458866,-0.03031131482461491
